"","CellPop","SampleA","SampleB","lowExpression","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Esam_ENSMUSG00000001946","CD11b+","Nb","PBS",FALSE,405.39373248271,0.744786488327808,0.163189241368547,4.56394356687878,5.02015784834336e-06,0.000162773033747808
"St18_ENSMUSG00000033740","CD11b+","Nb","PBS",FALSE,132.642244568391,-0.743639372712636,0.174055301469355,-4.27243161475069,1.93352860426784e-05,0.000502770483245508
"Zfp36l2_ENSMUSG00000045817","CD11b+","Nb","PBS",FALSE,175.074164918227,-0.741530642512829,0.158940011688478,-4.66547494639819,3.07905011733864e-06,0.000105780270160182
"Atp1a1_ENSMUSG00000033161","CD11b+","Nb","PBS",FALSE,2546.60856428437,0.740631174765666,0.107406502900195,6.89558969677916,5.36418140108722e-12,8.43944221568779e-10
"Pafah1b3_ENSMUSG00000005447","CD11b+","Nb","PBS",FALSE,324.719072940012,0.739934035590212,0.121495568744532,6.09021418012429,1.12759729268262e-09,1.0692866107665e-07
"Rtf1_ENSMUSG00000027304","CD11b+","Nb","PBS",FALSE,514.083527715631,-0.73613621676859,0.107484828587571,-6.8487453200787,7.45004912437428e-12,1.14606589029958e-09
"Ets2_ENSMUSG00000022895","CD11b+","Nb","PBS",FALSE,1026.77718024974,-0.734720523000093,0.163528906649748,-4.49290916237666,7.0256757838075e-06,0.000217607340552159
"Mov10_ENSMUSG00000002227","CD11b+","Nb","PBS",FALSE,322.477046124137,0.732087030827699,0.174570247193731,4.19365294256162,2.7449785217144e-05,0.00066791261218165
"Dnmt1_ENSMUSG00000004099","CD11b+","Nb","PBS",FALSE,1170.58077229743,0.730774322273473,0.110671403146964,6.60309982067415,4.02648221528909e-11,5.16172650654421e-09
"Pira2_ENSMUSG00000089942","CD11b+","Nb","PBS",FALSE,278.560570175098,0.730162167566782,0.156147182922247,4.67611489302606,2.92360849057581e-06,0.000101193398880055
"Abtb2_ENSMUSG00000032724","CD11b+","Nb","PBS",FALSE,576.142008060474,0.729585543701093,0.180447635027231,4.04319814771189,5.27270243172473e-05,0.00115507223365868
"Csf1_ENSMUSG00000014599","CD11b+","Nb","PBS",FALSE,1245.50470432112,0.727715635612057,0.156522687591969,4.64926616586792,3.33118105574242e-06,0.000113317448935513
"Serpine1_ENSMUSG00000037411","CD11b+","Nb","PBS",FALSE,202.965620007538,0.72752206761786,0.182730897458655,3.98138507354767,6.85148469884597e-05,0.00142217099933317
"Xaf1_ENSMUSG00000040483","CD11b+","Nb","PBS",FALSE,160.707823311521,0.726788793926934,0.159461651644012,4.557765371385,5.17007460596143e-06,0.000166464378882642
"Cyp2ab1_ENSMUSG00000022818","CD11b+","Nb","PBS",FALSE,104.713572920615,-0.72670001590633,0.198848814355418,-3.65453532253627,0.000257648191696292,0.00422646826307483
"Lgmn_ENSMUSG00000021190","CD11b+","Nb","PBS",FALSE,2550.01689234388,0.725268017556518,0.0929182685639993,7.80544050987106,5.9294068785291e-15,1.74665187730288e-12
"Klri2_ENSMUSG00000043932","CD11b+","Nb","PBS",FALSE,206.31891717949,-0.725202512433799,0.174720984245659,-4.15063202376514,3.31558451268724e-05,0.000774102320036338
"Zbp1_ENSMUSG00000027514","CD11b+","Nb","PBS",FALSE,274.551650620208,0.724687053317724,0.111408537609667,6.50477125780748,7.78116892637855e-11,9.20771656288128e-09
"Pom121_ENSMUSG00000053293","CD11b+","Nb","PBS",FALSE,185.967513867647,-0.721419407271732,0.153916429006133,-4.68708514048871,2.77123699864688e-06,9.68883238542071e-05
"Oas3_ENSMUSG00000032661","CD11b+","Nb","PBS",FALSE,130.577131582878,0.721255364759372,0.168037957972402,4.29221691016877,1.76898010535216e-05,0.000466392828813937
