"test","gene","padj","FoldChange"
"CD11b+.Nb.vs.PBS.up","Cd200_ENSMUSG00000022661",3.53500150164082e-16,2.31396484060052
"CD11b+.Nb.vs.PBS.up","Oas1b_ENSMUSG00000029605",1.80386062196237e-05,2.28500382356734
"CD11b+.Nb.vs.PBS.up","Tex15_ENSMUSG00000009628",2.42496772261042e-06,2.27007798286284
"TN.DBP+FITC.vs.UT.up","Ccl9_ENSMUSG00000019122",4.29180779152056e-40,3.70039199149796
"TN.DBP+FITC.vs.UT.up","Ccl6_ENSMUSG00000018927",8.8279343813966e-10,3.00747638949833
"TN.DBP+FITC.vs.UT.up","Slc9a3r2_ENSMUSG00000002504",2.83773657006156e-10,2.98114712103024
"TN.DBP+FITC.vs.UT.up","Dio1_ENSMUSG00000034785",1.61882370446313e-05,2.66339884464334
"TN.DBP+FITC.vs.UT.up","Obscn_ENSMUSG00000061462",1.28173719920213e-06,2.42793596607209
"TN.DBP+FITC.vs.UT.up","Emr1_ENSMUSG00000004730",2.92825806058945e-14,2.41768045040953
"TN.DBP+FITC.vs.UT.up","Myh10_ENSMUSG00000020900",1.25936622997855e-10,2.36949641634609
"TN.DBP+FITC.vs.UT.up","Cd81_ENSMUSG00000037706",1.30529543129114e-11,2.36535174301961
"TN.DBP+FITC.vs.UT.up","Capg_ENSMUSG00000056737",1.57716591710689e-32,2.27092509088735
"TN.DBP+FITC.vs.UT.up","Slc27a3_ENSMUSG00000027932",2.22560664822972e-15,2.24254217581946
"TN.DBP+FITC.vs.UT.up","Kctd7_ENSMUSG00000034110",0.000220149006486168,2.14272187196402
"TN.DBP+FITC.vs.UT.up","Abcg3_ENSMUSG00000029299",7.5060787997275e-08,2.11252928015243
"TN.DBP+FITC.vs.UT.up","Hist1h2bb_ENSMUSG00000075031",1.83879351836768e-06,2.0858733373706
"TN.DBP+FITC.vs.UT.up","Nrep_ENSMUSG00000042834",1.05806125365889e-08,2.07572702319579
"TN.DBP+FITC.vs.UT.up","Hist4h4_ENSMUSG00000096010",0.000249719010944952,2.05722220176647
"TN.DBP+FITC.vs.UT.up","Tmem140_ENSMUSG00000057137",1.96636166131525e-08,2.02786731026965
"TN.DBP+FITC.vs.UT.up","Hopx_ENSMUSG00000059325",0.00563019493213348,2.02128547506902
"TN.DBP+FITC.vs.UT.up","Camk1d_ENSMUSG00000039145",2.00343656963908e-07,2.00871695964312
"TN.DBP+FITC.vs.UT.up","Zfp85_ENSMUSG00000058331",0.00676213346023433,1.98846901851369
"TN.DBP+FITC.vs.UT.up","Dkk2_ENSMUSG00000028031",0.00021405155363559,1.97754540885986
"TN.DBP+FITC.vs.UT.up","Hist1h4n_ENSMUSG00000069305",0.00090809394841352,1.9713864366694
"TN.DBP+FITC.vs.UT.up","Ccl17_ENSMUSG00000031780",1.12046559526578e-09,1.95286327347379
"TN.DBP+FITC.vs.UT.up","Hist1h2ae_ENSMUSG00000069272",0.00261740322934866,1.95203725483801
"TN.DBP+FITC.vs.UT.up","Lgals1_ENSMUSG00000068220",4.28363801541055e-08,1.94721706991713
"TN.DBP+FITC.vs.UT.up","Cd302_ENSMUSG00000060703",6.21838011349089e-08,1.92032357096234
"TN.Nb.vs.PBS.up","Tgtp1_ENSMUSG00000078922",2.43134459472777e-67,9.79068802690255
"TN.Nb.vs.PBS.up","Dll4_ENSMUSG00000027314",1.35732981012216e-16,6.83186406618028
"TN.Nb.vs.PBS.up","Tgtp2_ENSMUSG00000078921",2.7361256293038e-50,6.57344979118878
"TN.Nb.vs.PBS.up","Vdr_ENSMUSG00000022479",1.21223034097175e-20,5.7966348888054
